veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_versao
FORD/ECOSPORT SE AT B,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ecosport-se-at-b/ano.2017/6a2617e3-08ac-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245222920_0add28aa-af52-4252-bcd6-72003df59e47_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2016,105.856,18000.00,Leilão ao vivo em: 3 dias 4h28m1s,15/07/2025,Flex,Prata,Sim,-,Carros,56400.00,FORD,ECOSPORT,SE AT B
BMW/320I SPORT GP FLEX,https://leilo.com.br/leilao/manaus-amazonas/carros/bmw/320i-sport-gp-flex/ano.2024/0300ed41-3bec-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245520894_5bc8cdfc-88ee-4018-a24e-e32dac4afc64_pequena_leilo.webp,PATIO MANAUS (MANAUS/AM),2024,211,93000.00,Leilão ao vivo em: 3 dias 4h28m60s,15/07/2025,Flex,Azul,Sim,-,Carros,304821.00,BMW,320I,SPORT GP FLEX
KIA/CERATO FF SX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/cerato-ff-sx/ano.2022/a10de545-3327-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245554823_74544185-8405-4615-8b26-de884d8d6f69_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2021,78.295,28200.00,Leilão ao vivo em: 3 dias 4h29m29s,15/07/2025,Flex,Cinza,Não,-,Carros,93698.00,KIA,CERATO,FF SX
FIAT/PUNTO ATTRACTIVE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/punto-attractive-(4p)/ano.2013/3e140316-1566-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245493639_65da9fb4-9237-475f-8d7c-b3403151330b_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2012,149.861,10700.00,Leilão ao vivo em: 3 dias 4h29m58s,15/07/2025,Flex,Branca,Sim,-,Carros,35655.00,FIAT,PUNTO,ATTRACTIVE (4P)
TOYOTA/COROLLA XEI FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/corolla-xei-flex-(4p)/ano.2019/aac3d63a-4920-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245491543_73ae23dd-293d-420d-9ddb-c91c6b470a44_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2018,80.494,31400.00,Leilão ao vivo em: 3 dias 4h30m28s,15/07/2025,Flex,Branca,Sim,-,Carros,102744.00,TOYOTA,COROLLA,XEI FLEX (4P)
FIAT/UNO SPORTING (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-sporting-(2p%2F4p)/ano.2012/e45186fa-16d0-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245550583_f16b6cde-dfea-4b02-94b8-9acc3e0fe073_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2011,141.708,10600.00,Leilão ao vivo em: 3 dias 4h30m57s,15/07/2025,Flex,Branca,Não,-,Carros,35037.00,FIAT,UNO,SPORTING (2P/4P)
HONDA/CITY LX (4P),https://leilo.com.br/leilao/benevides-para/carros/honda/city-lx-(4p)/ano.2019/26854b0f-4b8e-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245583712_dcb12a14-b568-417c-8966-7f980c49e6aa_pequena_leilo.webp,BENEVIDES-PA (BENEVIDES/PA),2019,151.845,24000.00,Leilão ao vivo em: 3 dias 4h31m27s,15/07/2025,Flex,Preta,Sim,-,Carros,79676.00,HONDA,CITY,LX (4P)
VOLKSWAGEN/NOVA SAVEIRO ROBUST MBV CABINE DUPLA,https://leilo.com.br/leilao/benevides-para/carros/volkswagen/nova-saveiro-robust-mbv-cabine-dupla/ano.2018/ba5f987a-21dc-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245464849_6abd3069-c070-4964-ab1f-430eea241a83_pequena_leilo.webp,BENEVIDES-PA (BENEVIDES/PA),2017,N/A,17600.00,Leilão ao vivo em: 3 dias 4h31m47s,15/07/2025,Flex,Branca,Não,-,Carros,58547.00,VOLKSWAGEN,NOVA,SAVEIRO ROBUST MBV CABINE DUPLA
MITSUBISHI/TRITON SPORT HPE S,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/triton-sport-hpe-s/ano.2023/deb0c80c-25fc-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245582603_ac28d314-4498-4a78-ba71-de66cb6cf085_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2023,N/A,65500.00,Leilão ao vivo em: 3 dias 4h32m17s,15/07/2025,Diesel,Prata,Sim,-,Carros,218128.00,MITSUBISHI,TRITON,SPORT HPE S
JEEP/RENEGADE LONGITUDE AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/renegade-longitude-automatico/ano.2021/c43bc171-4860-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752245617555_cddd1da8-36a6-4ee2-9c1f-41c1bf313e4c_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2021,58.067,27100.00,Leilão ao vivo em: 3 dias 4h32m46s,15/07/2025,Flex,Prata,Sim,-,Carros,86145.00,JEEP,RENEGADE,LONGITUDE AUTOMATICO
FIAT/TORO RANCH AT9 D4 CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/toro-ranch-at9-d4-cabine-dupla/ano.2020/f2cc22f2-5202-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2019,113.800,35700.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Diesel,Marrom,Sim,-,Carros,118782.00,FIAT,TORO,RANCH AT9 D4 CABINE DUPLA
FIAT/UNO MILLE ECONOMY (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-mille-economy-(2p%2F4p)/ano.2013/3b4a57d0-4c63-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2012,102.796,8500.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Sim,-,Carros,28179.00,FIAT,UNO,MILLE ECONOMY (2P/4P)
CHEVROLET/S10 LTZ DD4A,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-ltz-dd4a/ano.2021/b5449117-364c-11f0-bd5d-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2020,N/A,51300.00,Leilão ao vivo em: 3 dias 4h34m44s,15/07/2025,Diesel,Preta,Sim,-,Carros,170764.00,CHEVROLET,S10,LTZ DD4A
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/46aba8a0-122d-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2020,N/A,14900.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Sim,-,Carros,48960.00,VOLKSWAGEN,GOL,MC4 (4P/2P)
HYUNDAI/HB20 TA VISION (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20-ta-vision-(4p)/ano.2022/9b781bb3-4b9d-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BRASILIA-DF (TAGUATINGA/DF),2022,55.964,21700.00,Leilão ao vivo em: 3 dias 4h35m43s,15/07/2025,Flex,Branca,Sim,-,Carros,72328.00,HYUNDAI,HB20,TA VISION (4P)
FIAT/CRONOS DRIVE,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/cronos-drive/ano.2022/2f49cad3-3d93-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BRASILIA-DF (TAGUATINGA/DF),2021,35.323,21400.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Cinza,Sim,-,Carros,71059.00,FIAT,CRONOS,DRIVE
AUDI/A3 LIMOUSINE,https://leilo.com.br/leilao/campo-grande-mato-grosso-do-sul/carros/audi/a3-limousine/ano.2018/0d3aaeab-42d3-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CAMPO GRANDE-MS (CAMPO GRANDE/MS),2018,83.843,28200.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Prata,Sim,-,Carros,93994.00,AUDI,A3,LIMOUSINE
TOYOTA/HILUX CABINE DUPLA SRA 4FD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux--cabine-dupla-sra-4fd/ano.2022/75dc4eb9-3d8d-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2022,135.325,59300.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Diesel,Branca,Sim,-,Carros,197448.00,TOYOTA,HILUX,CABINE DUPLA SRA 4FD
TOYOTA/RAV4 D907,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/toyota/rav4-d907/ano.2018/6220cbf2-46bd-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BRASILIA-DF (TAGUATINGA/DF),2018,124.310,35600.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Gasolina,Prata,Sim,-,Carros,118427.00,TOYOTA,RAV4,D907
HYUNDAI/HB20S (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-(4p)/ano.2014/3a9ef2f8-1176-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2013,N/A,14400.00,Leilão: Leilão: 15/07/2025 Ter • 17:00,15/07/2025,Flex,Branca,Sim,-,Carros,47435.00,HYUNDAI,HB20S,(4P)
TOYOTA/YARIS SD XLS AT,https://leilo.com.br/leilao/benevides-para/carros/toyota/yaris-sd-xls-at/ano.2019/668e0b2e-3a37-11f0-9677-02420a00000b,https://leilo.com.br/lote/fotos-modelo/carro.jpg,BENEVIDES-PA (BENEVIDES/PA),2018,N/A,24300.00,Leilão ao vivo em: 3 dias 4h39m7s,15/07/2025,Flex,Branca,Não,-,Carros,80672.00,TOYOTA,YARIS,SD XLS AT
MERCEDES-BENZ/C180FF,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mercedes-benz/c180ff/ano.2020/0ff80273-87e2-11ef-9045-02420a000083,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157320775_8f133944-f86b-4116-8fa1-b4b5cb43107e_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2020,N/A,46700.00,Leilão ao vivo em: 3 dias 4h39m37s,15/07/2025,Flex,Azul,Sim,-,Carros,155461.00,MERCEDES-BENZ,C180FF,N/A
FIAT/SIENA FIRE FLEX (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/c9958f19-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157324653_bc4973ea-d12c-4b59-83db-f19000b1ee0b_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2009,216.554,7300.00,Leilão ao vivo em: 3 dias 4h40m5s,15/07/2025,Flex,Cinza,Sim,-,Carros,24225.00,FIAT,SIENA,FIRE FLEX (2P/4P)
BYD/DOLPHIN MINI GS EV (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/byd/dolphin-mini-gs-ev-(4p)/ano.2025/83c5324a-d279-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752156963496_fecce718-0466-4735-864f-2453c38b6ec6_pequena_leilo.webp,PATIO MANAUS (MANAUS/AM),2024,N/A,32500.00,Leilão ao vivo em: 3 dias 4h40m34s,15/07/2025,ELETRICO / FONTE EXT,Branca,Sim,-,Carros,108209.00,BYD,DOLPHIN,MINI GS EV (4P)
FIAT/UNO VIVACE 1.0 (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/uno-vivace-1.0-(2p%2F4p)/ano.2011/4da2e078-a5eb-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157027905_66b53941-fd90-4424-a23f-c0bdb2ed8145_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2010,190.740,7700.00,Leilão ao vivo em: 3 dias 4h42m3s,15/07/2025,Flex,Amarela,Sim,-,Carros,26422.00,FIAT,UNO,VIVACE 1.0 (2P/4P)
PEUGEOT/207 PASSION XS (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-passion-xs-(4p)/ano.2013/726284c3-deff-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157326120_e10afc7f-8c4f-4fdc-a367-737897df89b6_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2012,131.541,7800.00,Leilão ao vivo em: 3 dias 4h42m32s,15/07/2025,Flex,Preta,Sim,-,Carros,25893.00,PEUGEOT,207,PASSION XS (4P)
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-flex-(4p)/ano.2010/e0db7677-cdd2-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157294154_dea90c98-be86-4075-b24e-05aeda55d006_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2010,N/A,6700.00,Leilão ao vivo em: 3 dias 4h43m1s,15/07/2025,Flex,Prata,Sim,-,Carros,22064.00,FORD,FIESTA,FLEX (4P)
BYD/DOLPHIN GS 180EV (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/byd/dolphin-gs-180ev-(4p)/ano.2024/ebf93e0f-bdfe-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157203851_1adf1ea3-6082-4eea-b09e-e37afd17d817_pequena_leilo.webp,PATIO MANAUS (MANAUS/AM),2023,25.811,39200.00,Leilão ao vivo em: 3 dias 4h44m0s,15/07/2025,ELETRICO / FONTE EXT,Cinza,Sim,-,Carros,127206.00,BYD,DOLPHIN,GS 180EV (4P)
MERCEDES-BENZ/C-180 CGI (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/mercedes-benz/c-180-cgi-(4p)/ano.2012/10fe54e1-f8f1-11ee-b80e-02420a000059,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157237424_e766095e-6c4b-4e1b-9ba4-8bc3dd7acc5c_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2012,207.979,19600.00,Leilão ao vivo em: 3 dias 4h44m29s,15/07/2025,Gasolina,Prata,Sim,-,Carros,65297.00,MERCEDES-BENZ,C-180,CGI (4P)
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-passion-xr-(4p)/ano.2012/a6620236-e339-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157951467_04aadf1b-2a32-4759-b1d2-cf6a64bf5deb_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2011,201.105,6200.00,Leilão ao vivo em: 3 dias 4h44m59s,15/07/2025,Flex,Prata,Sim,-,Carros,20532.00,PEUGEOT,207,PASSION XR (4P)
VOLKSWAGEN/AMAROK CABINE DUPLA HIGHLINE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/amarok-cabine-dupla-highline/ano.2019/fd7e7e63-f5c7-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157238105_7cdfd368-76f7-41e5-a839-53f596b89356_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2019,N/A,42100.00,Leilão ao vivo em: 3 dias 4h45m28s,15/07/2025,Diesel,Branca,Sim,-,Carros,140007.00,VOLKSWAGEN,AMAROK,CABINE DUPLA HIGHLINE
CHEVROLET/S10 LS DD4 CABINE DUPLA,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/s10-ls-dd4-cabine-dupla/ano.2022/d04a1064-d341-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157144847_eb7785cc-a103-4a04-b943-deaf4fc8b6fa_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2021,23.607,41100.00,Leilão ao vivo em: 3 dias 4h45m57s,15/07/2025,Diesel,Branca,Sim,-,Carros,136775.00,CHEVROLET,S10,LS DD4 CABINE DUPLA
VOLKSWAGEN/AMAROK V6 HIGHLINE AD4,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/amarok-v6-highline-ad4/ano.2021/1fbe0f32-1162-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157236928_4650b488-21f9-4e3f-8822-73be0bde8e1c_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2021,N/A,57000.00,Leilão ao vivo em: 3 dias 4h46m27s,15/07/2025,Diesel,Cinza,Sim,-,Carros,168276.00,VOLKSWAGEN,AMAROK,V6 HIGHLINE AD4
CHEVROLET/SONIC LTZ NB AT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/sonic-ltz-nb-at-(4p)/ano.2012/bf4fcad2-4a27-11ed-a391-02420a000011,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752157232480_4d3c942c-62c2-4d9b-ad14-da5a63e7cbb6_pequena_leilo.webp,PATIO 2-AP. DE GOIANIA (APARECIDA DE GOIÂNIA/GO),2012,145.964,10400.00,Leilão ao vivo em: 3 dias 4h46m56s,15/07/2025,Flex,Preta,Sim,-,Carros,34664.00,CHEVROLET,SONIC,LTZ NB AT (4P)
CHEVROLET/ONIX PLUS PR MID,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-pr-mid/ano.2021/25e56132-3afa-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2021,N/A,42700.00,Leilão: Leilão: 16/07/2025 Qua • 12:30,16/07/2025,Flex,Preta,Não,Recuperado de Financiamento,Carros,77568.00,CHEVROLET,ONIX,PLUS PR MID
VOLKSWAGEN/NIVUS HIGHLINE TSI AD,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/nivus-highline-tsi-ad/ano.2021/03e0d5e9-4ae5-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2021,153.338,58300.00,Leilão ao vivo em: 3 dias 23h35m25s,16/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,105831.00,VOLKSWAGEN,NIVUS,HIGHLINE TSI AD
NISSAN/MARCH SV (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/march-sv-(4p)/ano.2020/3308beb3-34f6-11f0-9f79-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2019,191.163,34100.00,Leilão: Leilão: 16/07/2025 Qua • 12:30,16/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,61880.00,NISSAN,MARCH,SV (4P)
RENAULT/SANDERO AUTHENTIQUE/ VIBE 1.0 12V SCE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-authentique%2F-vibe-1.0-12v-sce-(4p)/ano.2018/8a038fd4-5692-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2017,56.959,21800.00,Leilão ao vivo em: 3 dias 23h36m41s,16/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,39595.00,RENAULT,SANDERO,AUTHENTIQUE/ VIBE 1.0 12V SCE (4P)
TOYOTA/COROLLA GLI UPPER,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/corolla-gli-upper/ano.2018/8c6f45ce-4adb-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2017,115.052,47300.00,Leilão ao vivo em: 3 dias 23h37m10s,16/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,85929.00,TOYOTA,COROLLA,GLI UPPER
HYUNDAI/HB20S COMFORTLINE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/hyundai/hb20s-comfortline-(4p)/ano.2015/82cf3029-d8ed-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),2015,244.357,20400.00,Leilão ao vivo em: 3 dias 23h37m40s,16/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,36941.00,HYUNDAI,HB20S,COMFORTLINE (4P)
PEUGEOT/208 LIKE,https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/208-like/ano.2023/7c4a484c-25da-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752244383692_36d0b675-2b5a-4c6e-bf63-3c2ce3e62bef_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2022,67.083,34100.00,Leilão ao vivo em: 3 dias 23h38m10s,16/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,61864.00,PEUGEOT,208,LIKE
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2022/1880e4e7-d981-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO FORTALEZA/CE (EUSÉBIO/CE),2021,98.216,36800.00,Leilão ao vivo em: 3 dias 23h38m39s,16/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,66433.00,CHEVROLET,ONIX,10MT LT2
CHEVROLET/ONIX 10MT HB,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-hb/ano.2025/3e0051d6-30e8-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752244265235_7949d3ed-213a-4af9-b7e6-1ab0d493bc13_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2024,2.474,44500.00,Leilão ao vivo em: 3 dias 23h39m9s,16/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,80750.00,CHEVROLET,ONIX,10MT HB
RENAULT/FLUENCE DYNAMIQUE (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/fluence-dynamique-(4p)/ano.2016/71a87272-7d04-11ef-a1ff-02420a0000dd,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752244650400_45af6085-8eb2-4be1-b010-30810175fbce_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2015,192.777,29300.00,Leilão ao vivo em: 3 dias 23h40m8s,16/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,53120.00,RENAULT,FLUENCE,DYNAMIQUE (4P)
FORD/KA SE B (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/ka-se-b-(4p)/ano.2018/d7a9b251-dffc-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752243330536_3dad5448-79cb-468c-92b1-18e49da98c88_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2018,172.384,23800.00,Leilão ao vivo em: 3 dias 23h40m38s,16/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,43115.00,FORD,KA,SE B (4P)
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/aec462a6-e09f-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752243660715_c92868f7-b674-46c8-bfff-301ef12bf227_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2014,N/A,17100.00,Leilão ao vivo em: 3 dias 23h41m7s,16/07/2025,Flex,Vermelha,Não,Recuperado de Financiamento,Carros,30947.00,RENAULT,CLIO,EXPRESSION 10 16VH (4P/2P)
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/9d5c1bf6-ed61-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752243664131_459f4636-cd99-436b-9eec-1453f919432d_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2012,203.167,17700.00,Leilão ao vivo em: 3 dias 23h41m37s,16/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,32032.00,FORD,FIESTA,SEDAN 1.6 FLEX (4P)
NISSAN/SENTRA S (4P),https://leilo.com.br/leilao/candeias-bahia/carros/nissan/sentra-s-(4p)/ano.2009/aee70eff-05be-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752244654249_da67b7e0-321d-430c-9396-31628f369791_pequena_leilo.webp,PATIO SALVADOR-BA (CANDEIAS/BA),2008,N/A,16800.00,Leilão ao vivo em: 3 dias 23h42m7s,16/07/2025,Gasolina,Preta,Não,Recuperado de Financiamento,Carros,30444.00,NISSAN,SENTRA,S (4P)
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/25010223-ff3f-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/11/1752243691234_0ea46824-e27a-4ff8-bbb0-b430a78e65af_pequena_leilo.webp,PATIO FORTALEZA/CE (EUSÉBIO/CE),2019,137.404,24900.00,Leilão ao vivo em: 3 dias 23h42m36s,16/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,45131.00,FORD,KA,HATCH SE 1.0 C (4P)
