Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
RANDON/SEMI REBOQUE CARROCERIA ABERTA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/randon/semi-reboque-carroceria-aberta/ano.2013/73400277-204a-11f0-bcc9-02420a000216,N/A,GO,2013,N/A,-,Leilão ao vivo em: 2 dias 2h52m37s,24/06/2025,,,,,,,,,
VOLKSWAGEN/POLO MCA,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/polo-mca/ano.2022/159296f2-21eb-11f0-bcc9-02420a000216,N/A,DF,2021,65.824 km,"R$ 40.400,00",Leilão ao vivo em: 2 dias 2h52m57s,24/06/2025,,,,,,,,,
NISSAN/SENTRA SL CVT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/sentra-sl-cvt-(4p)/ano.2015/03272aec-203b-11f0-bcc9-02420a000216,N/A,GO,2014,189.034 km,"R$ 30.800,00",Leilão ao vivo em: 2 dias 2h53m23s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 SENSE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-sense/ano.2020/930866f3-160a-11f0-b6cf-02420a00009e,N/A,GO,2019,99.069 km,"R$ 30.700,00",Leilão ao vivo em: 2 dias 2h53m46s,24/06/2025,,,,,,,,,
NISSAN/FRONTIER SE 25 4X4 CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/frontier-se-25-4x4-cabine-dupla/ano.2011/8b4aebb4-00e5-11f0-8c72-02420a00002d,N/A,GO,2010,197.160 km,"R$ 40.100,00",Leilão ao vivo em: 2 dias 2h54m8s,24/06/2025,,,,,,,,,
FORD/RANGER LTD CABINE DUPLA 432A,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ranger-ltd-cabine-dupla-432a/ano.2016/984f7144-1a28-11f0-bf87-02420a000088,N/A,GO,2015,220.779 km,"R$ 67.600,00",Leilão ao vivo em: 2 dias 2h54m33s,24/06/2025,,,,,,,,,
NISSAN/FRONTIER LE 4X4,https://leilo.com.br/leilao/manaus-amazonas/carros/nissan/frontier-le-4x4/ano.2022/d1f0bdf4-1ad5-11f0-abeb-02420a0000a3,N/A,AM,2021,18.729 km,"R$ 96.400,00",Leilão ao vivo em: 2 dias 2h54m51s,24/06/2025,,,,,,,,,
CITROEN/C4 LOUNGE A TENDANCE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-lounge-a-tendance-(4p)/ano.2014/f400d7ee-13ba-11f0-8c72-02420a00002d,N/A,GO,2013,165.058 km,"R$ 23.600,00",Leilão ao vivo em: 2 dias 2h55m11s,24/06/2025,,,,,,,,,
VOLKSWAGEN/SAVEIRO CABINE SIMPLES ST MB,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/saveiro-cabine-simples-st-mb/ano.2015/599df241-1194-11f0-8c72-02420a00002d,N/A,GO,2014,135.067 km,"R$ 23.400,00",Leilão ao vivo em: 2 dias 2h56m6s,24/06/2025,,,,,,,,,
HYUNDAI/HB20S UNIQUE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-unique-(4p)/ano.2019/0fb6d70b-08bf-11f0-8c72-02420a00002d,N/A,GO,2019,77.647 km,"R$ 29.900,00",Leilão ao vivo em: 2 dias 2h56m55s,24/06/2025,,,,,,,,,
FIAT/SIENA ATTRACTIVE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-attractive-(4p)/ano.2019/b2355ad4-109d-11f0-8c72-02420a00002d,N/A,GO,2018,57.040 km,"R$ 23.900,00",Leilão ao vivo em: 2 dias 2h57m19s,24/06/2025,,,,,,,,,
TOYOTA/HILUX CD SRX A 4FD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srx-a-4fd/ano.2017/6c2bef68-fb82-11ef-8c72-02420a00002d,N/A,GO,2016,230.215 km,"R$ 101.600,00",Leilão ao vivo em: 2 dias 2h57m40s,24/06/2025,,,,,,,,,
CITROEN/C4 CACTUS FEEL PACK,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/citroen/c4-cactus-feel-pack/ano.2019/33b1b82e-ea33-11ef-903d-02420a000042,N/A,GO,2019,90.466 km,"R$ 37.000,00",Leilão ao vivo em: 2 dias 2h58m6s,24/06/2025,,,,,,,,,
RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2014/dd938425-f2ed-11ef-bd15-02420a00000b,N/A,GO,2013,140.090 km,"R$ 15.900,00",Leilão ao vivo em: 2 dias 2h58m29s,24/06/2025,,,,,,,,,
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/ford/fiesta-1.6-flex-(4p)/ano.2012/f32a8773-141c-11ee-81dc-02420a000018,N/A,AM,2012,N/A,"R$ 16.400,00",Leilão ao vivo em: 2 dias 2h59m21s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/b60f2e96-5b3d-11ef-ae95-02420a0000a0,N/A,AM,2021,287.513 km,"R$ 27.500,00",Leilão ao vivo em: 2 dias 2h59m46s,24/06/2025,,,,,,,,,
CHEVROLET/CRUZE SEDAN LT NB (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/cruze-sedan-lt-nb-(4p)/ano.2012/023aa310-a201-11ef-9088-02420a0000e0,N/A,GO,2012,176.705 km,"R$ 28.000,00",Leilão ao vivo em: 2 dias 3h8s,24/06/2025,,,,,,,,,
VOLKSWAGEN/CROSSFOX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/crossfox-(4p)/ano.2010/96600255-c12d-11ee-843f-02420a00007b,N/A,GO,2009,177.741 km,"R$ 18.200,00",Leilão ao vivo em: 2 dias 3h1m3s,24/06/2025,,,,,,,,,
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2012/20760b37-a2ba-11ef-9088-02420a0000e0,N/A,GO,2012,123.752 km,"R$ 49.800,00",Leilão ao vivo em: 2 dias 3h1m25s,24/06/2025,,,,,,,,,
VOLKSWAGEN/NOVO VOYAGE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/novo-voyage-(4p)/ano.2014/a78dd325-8eef-11ee-ac59-02420a0000c8,N/A,AM,2013,113.717 km,"R$ 20.700,00",Leilão ao vivo em: 2 dias 3h1m51s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/hyundai/hb20-(4p)/ano.2013/aa9e213d-c134-11ef-8e48-02420a000017,N/A,AM,2013,234.005 km,"R$ 21.400,00",Leilão ao vivo em: 2 dias 3h2m15s,24/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/616f8468-2ce1-11f0-9f79-02420a000005,N/A,GO,2017,40.392 km,"R$ 12.600,00",Leilão ao vivo em: 2 dias 5h12m8s,24/06/2025,,,,,,,,,
HONDA/CITY EX,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/honda/city--ex/ano.2024/1811b640-3cb1-11f0-b593-02420a000005,N/A,DF,2023,27.428 km,"R$ 36.900,00",Leilão ao vivo em: 2 dias 5h12m34s,24/06/2025,,,,,,,,,
PEUGEOT/408 BUSINESS,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/peugeot/408-business/ano.2018/0dc6dc5b-3cb4-11f0-b593-02420a000005,N/A,DF,2017,N/A,"R$ 16.700,00",Leilão ao vivo em: 2 dias 5h12m56s,24/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/c4da2e28-1ac6-11f0-abeb-02420a0000a3,N/A,CE,2012,N/A,"R$ 9.500,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
HONDA/FIT LXL (4P),https://leilo.com.br/leilao/candeias-bahia/carros/honda/fit-lxl-(4p)/ano.2007/c925d7d9-fdb0-11ef-8c72-02420a00002d,N/A,BA,2006,N/A,"R$ 9.200,00",Leilão ao vivo em: 2 dias 5h15m8s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE TRENDLINE MB (4P),https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/voyage-trendline-mb-(4p)/ano.2015/08e032cd-2792-11f0-9f79-02420a000005,N/A,BA,2014,N/A,"R$ 12.400,00",Leilão ao vivo em: 2 dias 5h15m33s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/voyage-1.0-(4p)/ano.2011/8ee4513b-207b-11f0-bcc9-02420a000216,N/A,AM,2011,192.405 km,"R$ 8.600,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2011/134c9a5c-34e9-11f0-9f79-02420a000005,N/A,CE,2011,158.220 km,"R$ 8.100,00",Leilão ao vivo em: 2 dias 5h16m41s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2014/da109169-35ac-11f0-9f79-02420a000005,N/A,CE,2014,N/A,"R$ 22.000,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
CITROEN/C3 90M TENDANCE (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/citroen/c3-90m-tendance-(4p)/ano.2016/28ae9399-206e-11f0-bcc9-02420a000216,N/A,DF,2015,187.621 km,"R$ 14.200,00",Leilão ao vivo em: 2 dias 5h17m26s,24/06/2025,,,,,,,,,
FORD/KA TECNO B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-tecno-b-(4p)/ano.2018/36f9e79d-34eb-11f0-9f79-02420a000005,N/A,GO,2018,116.525 km,"R$ 13.300,00",Leilão ao vivo em: 2 dias 5h17m51s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/benevides-para/carros/hyundai/hb20-comfort-(4p)/ano.2019/ab94a655-2534-11f0-bcc9-02420a000216,N/A,PA,2018,N/A,"R$ 16.000,00",Leilão ao vivo em: 2 dias 5h18m41s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/e454abe9-707a-11ef-9f48-02420a0000f9,N/A,GO,2009,218.624 km,"R$ 7.600,00",Leilão ao vivo em: 2 dias 5h19m5s,24/06/2025,,,,,,,,,
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-passion-xr-(4p)/ano.2012/93de9771-e8a2-11ef-903d-02420a000042,N/A,GO,2011,149.832 km,"R$ 11.300,00",Leilão ao vivo em: 2 dias 5h19m26s,24/06/2025,,,,,,,,,
FORD/FIESTA SD SEA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sd-sea-(4p)/ano.2015/a94ed2d1-09b6-11f0-8c72-02420a00002d,N/A,GO,2015,273.987 km,"R$ 24.400,00",Leilão ao vivo em: 2 dias 5h19m52s,24/06/2025,,,,,,,,,
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/cuiaba-mato-grosso/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2019/f1b1db50-2b4e-11f0-9f79-02420a000005,N/A,MT,2019,104.376 km,"R$ 16.900,00",Leilão ao vivo em: 2 dias 5h20m17s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VOYAGE AF5,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/voyage-af5/ano.2020/c13aab07-2f5d-11f0-9f79-02420a000005,N/A,GO,2019,108.880 km,"R$ 24.500,00",Leilão ao vivo em: 2 dias 5h20m40s,24/06/2025,,,,,,,,,
JAC/E JS1 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/jac/e-js1-(4p)/ano.2023/41e959dd-1222-11f0-8c72-02420a00002d,N/A,GO,2022,45.554 km,"R$ 25.900,00",Leilão ao vivo em: 2 dias 5h21m5s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2019/961e6650-1224-11f0-8c72-02420a00002d,N/A,DF,2019,36.311 km,"R$ 15.300,00",Leilão ao vivo em: 2 dias 5h21m26s,24/06/2025,,,,,,,,,
CHEVROLET/PRISMA LTZ 1.4 AUTOMATICO (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/prisma-ltz-1.4-automatico-(4p)/ano.2016/126aeafb-3321-11f0-9f79-02420a000005,N/A,DF,2016,140.917 km,"R$ 16.600,00",Leilão ao vivo em: 2 dias 5h21m51s,24/06/2025,,,,,,,,,
CAOA-CHERY/CELER FLEX HATCHBACK (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/caoa-chery/celer-flex-hatchback-(4p)/ano.2015/f4464104-3ccd-11f0-b593-02420a000005,N/A,DF,2014,126.097 km,"R$ 8.100,00",Leilão ao vivo em: 2 dias 5h22m16s,24/06/2025,,,,,,,,,
JEEP/RENEGADE SPORT MT,https://leilo.com.br/leilao/candeias-bahia/carros/jeep/renegade-sport-mt/ano.2016/ca28b363-25f5-11f0-bcc9-02420a000216,N/A,BA,2015,N/A,"R$ 19.400,00",Leilão ao vivo em: 2 dias 5h22m38s,24/06/2025,,,,,,,,,
CAOA-CHERY/TIGGO 8 PHEV,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/caoa-chery/tiggo-8-phev/ano.2023/a8c91ff5-2f63-11f0-9f79-02420a000005,N/A,GO,2022,36.882 km,"R$ 53.500,00",Leilão ao vivo em: 2 dias 5h22m60s,24/06/2025,,,,,,,,,
CHEVROLET/ASTRA HB 4P ADVANTAGE (2P/4P),https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/astra-hb-4p-advantage-(2p%2F4p)/ano.2011/ecf9a6be-ff47-11ef-8c72-02420a00002d,N/A,BA,2010,N/A,"R$ 11.300,00",Leilão ao vivo em: 2 dias 5h23m20s,24/06/2025,,,,,,,,,
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/candeias-bahia/carros/fiat/mobi-like-(4p)/ano.2021/2049f0f2-04bc-11f0-8c72-02420a00002d,N/A,BA,2020,N/A,"R$ 14.700,00",Leilão ao vivo em: 2 dias 5h23m37s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA GLI 1.8 CVT AUTOMATICO,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-gli-1.8-cvt-automatico/ano.2019/57c8d78c-0fec-11f0-8c72-02420a00002d,N/A,GO,2019,N/A,"R$ 28.300,00",Leilão ao vivo em: 2 dias 5h23m55s,24/06/2025,,,,,,,,,
CHEVROLET/CAPTIVA SPORT FWD 4X2,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/captiva-sport-fwd-4x2/ano.2010/f2db7c64-a422-11ef-8e48-02420a000017,N/A,DF,2010,155.513 km,"R$ 10.900,00",Leilão ao vivo em: 2 dias 5h24m19s,24/06/2025,,,,,,,,,
FIAT/PALIO WEEKEND ADVENTURE FLEX,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-weekend-adventure-flex/ano.2009/fc5aa18c-3575-11f0-9f79-02420a000005,N/A,GO,2008,588.301 km,"R$ 9.400,00",Leilão ao vivo em: 2 dias 5h24m41s,24/06/2025,,,,,,,,,
NISSAN/KICKS S DIRECT CVT,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/kicks-s-direct-cvt/ano.2020/c8704330-25f1-11f0-bcc9-02420a000216,N/A,GO,2019,92.394 km,"R$ 24.200,00",Leilão ao vivo em: 2 dias 5h25m36s,24/06/2025,,,,,,,,,
FORD/FIESTA SD SEA (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/fiesta-sd-sea-(4p)/ano.2014/9d8f98e6-34ec-11f0-9f79-02420a000005,N/A,PA,2013,104.102 km,"R$ 11.700,00",Leilão ao vivo em: 2 dias 5h25m56s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 10M COMFORT,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-10m-comfort/ano.2025/365a4380-f697-11ef-9028-02420a000044,N/A,GO,2024,18.147 km,"R$ 25.300,00",Leilão ao vivo em: 2 dias 5h26m21s,24/06/2025,,,,,,,,,
FORD/FOCUS HC FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2013/e1b2c772-2d15-11f0-9f79-02420a000005,N/A,GO,2013,243.308 km,"R$ 11.600,00",Leilão ao vivo em: 2 dias 5h26m46s,24/06/2025,,,,,,,,,
FORD/FIESTA SEDAN 1.6 FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2012/a37ee3db-6d2c-11ee-b57d-02420a0000d3,N/A,GO,2011,223.481 km,"R$ 9.200,00",Leilão ao vivo em: 2 dias 5h27m8s,24/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/porto-velho-rondonia/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2013/1cc574ed-0b02-11f0-8c72-02420a00002d,N/A,RO,2013,201.968 km,"R$ 8.200,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
FIAT/MOBI LIKE,https://leilo.com.br/leilao/candeias-bahia/carros/fiat/mobi-like/ano.2025/cf64c632-324c-11f0-9f79-02420a000005,N/A,BA,2025,N/A,"R$ 19.800,00",Leilão ao vivo em: 2 dias 5h27m50s,24/06/2025,,,,,,,,,
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/siena-el-flex-(4p)/ano.2015/61e846bd-154b-11f0-b6cf-02420a00009e,N/A,DF,2014,125.097 km,"R$ 11.600,00",Leilão ao vivo em: 2 dias 5h28m14s,24/06/2025,,,,,,,,,
VOLKSWAGEN/VIRTUS COMFORTLINE AD,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/virtus-comfortline-ad/ano.2019/d3141a78-2f6e-11f0-9f79-02420a000005,N/A,DF,2018,110.714 km,"R$ 23.800,00",Leilão ao vivo em: 2 dias 5h28m38s,24/06/2025,,,,,,,,,
VOLKSWAGEN/AMAROK V6 HIGHLINE AD4,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/amarok-v6-highline-ad4/ano.2021/1fbe0f32-1162-11f0-8c72-02420a00002d,N/A,GO,2021,N/A,"R$ 51.900,00",Leilão ao vivo em: 2 dias 5h43m55s,24/06/2025,,,,,,,,,
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/cdfeb979-10b1-11f0-8c72-02420a00002d,N/A,AM,2020,N/A,"R$ 14.900,00",Leilão ao vivo em: 2 dias 5h44m20s,24/06/2025,,,,,,,,,
FORD/KA SE PLUS C (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-se-plus-c-(4p)/ano.2020/cd306fe3-4a27-11ed-a391-02420a000011,N/A,GO,2020,62.722 km,"R$ 17.100,00",Leilão ao vivo em: 2 dias 5h44m40s,24/06/2025,,,,,,,,,
FIAT/ARGO DRIVE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/argo-drive-1.0-(4p)/ano.2020/412cd0c0-0c06-11f0-8c72-02420a00002d,N/A,GO,2020,21.479 km,"R$ 17.100,00",Leilão ao vivo em: 2 dias 5h46m6s,24/06/2025,,,,,,,,,
TOYOTA/COROLLA CROSS GR S,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/corolla-cross-gr-s/ano.2023/6d17bb18-1a3d-11f0-bf87-02420a000088,N/A,GO,2023,24.440 km,"R$ 51.000,00",Leilão ao vivo em: 2 dias 5h46m26s,24/06/2025,,,,,,,,,
SUZUKI/JIMNY 4 SPORT,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/suzuki/jimny-4-sport/ano.2017/da0516cd-24f9-11f0-bcc9-02420a000216,N/A,DF,2016,175.492 km,"R$ 21.900,00",Leilão ao vivo em: 2 dias 5h46m51s,24/06/2025,,,,,,,,,
HONDA/FIT CX FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/fit-cx-flex-(4p)/ano.2014/9f397ca1-0019-11f0-8c72-02420a00002d,N/A,GO,2014,176.592 km,"R$ 16.400,00",Leilão ao vivo em: 2 dias 5h47m46s,24/06/2025,,,,,,,,,
FORD/EDGE V6 FWD 4X2,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/edge-v6-fwd-4x2/ano.2014/0137bc39-2f34-11f0-9f79-02420a000005,N/A,GO,2014,N/A,"R$ 20.400,00",Leilão ao vivo em: 2 dias 5h48m8s,24/06/2025,,,,,,,,,
CHEVROLET/SONIC LTZ NB AT (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/sonic-ltz-nb-at-(4p)/ano.2012/bf4fcad2-4a27-11ed-a391-02420a000011,N/A,GO,2012,145.964 km,"R$ 10.400,00",Leilão ao vivo em: 2 dias 5h48m34s,24/06/2025,,,,,,,,,
CHEVROLET/ONIX LT 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-lt-1.0-(2p%2F4p)/ano.2014/e539e11e-10c7-11f0-8c72-02420a00002d,N/A,GO,2014,N/A,"R$ 13.600,00",Leilão ao vivo em: 2 dias 5h48m54s,24/06/2025,,,,,,,,,
FIAT/SIENA FIRE FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-fire-flex-(4p)/ano.2010/2c6e23b6-13f6-11f0-b6cf-02420a00009e,N/A,GO,2009,243.794 km,"R$ 7.200,00",Leilão ao vivo em: 2 dias 5h49m20s,24/06/2025,,,,,,,,,
VOLKSWAGEN/FOX PLUS (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-plus-(4p%2F2p)/ano.2008/c77b1cc6-14bf-11f0-b6cf-02420a00009e,N/A,GO,2007,119.177 km,"R$ 8.200,00",Leilão ao vivo em: 2 dias 5h49m44s,24/06/2025,,,,,,,,,
VOLKSWAGEN/JETTA HIGHLINE AD,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/jetta-highline-ad/ano.2015/7c5fbc19-01ab-11f0-8c72-02420a00002d,N/A,DF,2015,184.559 km,"R$ 23.500,00",Leilão ao vivo em: 2 dias 5h50m7s,24/06/2025,,,,,,,,,
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/hyundai/hb20-comfort-(4p)/ano.2015/db56a3ac-0351-11f0-8c72-02420a00002d,N/A,AM,2015,107.452 km,"R$ 12.500,00",Leilão ao vivo em: 2 dias 5h50m33s,24/06/2025,,,,,,,,,
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2013/6a568a33-b990-11ef-8e48-02420a000017,N/A,GO,2013,137.485 km,"R$ 8.100,00",Leilão ao vivo em: 2 dias 5h50m55s,24/06/2025,,,,,,,,,
JEEP/COMPASS LIMITED DIESEL,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/jeep/compass-limited-diesel/ano.2018/7e83a411-035b-11f0-8c72-02420a00002d,N/A,DF,2018,143.344 km,"R$ 34.100,00",Leilão ao vivo em: 2 dias 5h51m21s,24/06/2025,,,,,,,,,
CHEVROLET/S10 LS DD4 CABINE DUPLA,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/s10-ls-dd4-cabine-dupla/ano.2022/d04a1064-d341-11ef-903d-02420a000042,N/A,DF,2021,23.607 km,"R$ 41.100,00",Leilão ao vivo em: 2 dias 5h51m47s,24/06/2025,,,,,,,,,
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/mobi-like-(4p)/ano.2024/4abcb34c-f2dd-11ef-bd15-02420a00000b,N/A,AM,2023,67.020 km,"R$ 17.900,00",Leilão ao vivo em: 2 dias 5h54m10s,24/06/2025,,,,,,,,,
CHEVROLET/CORSA SEDAN PREMIUM (2P/4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/corsa-sedan-premium-(2p%2F4p)/ano.2009/d8a89917-f37d-11ee-b80e-02420a000059,N/A,DF,2009,198.047 km,"R$ 8.500,00",Leilão ao vivo em: 2 dias 5h54m35s,24/06/2025,,,,,,,,,
HONDA/HR-V EX CVT AUTOMATICO,https://leilo.com.br/leilao/eusebio-ceara/carros/honda/hr-v-ex-cvt-automatico/ano.2018/fd2b5506-2b89-11f0-9f79-02420a000005,N/A,CE,2018,60.881 km,"R$ 27.600,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
VOLKSWAGEN/VIRTUS COMFORT LINE AC,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/virtus-comfort-line-ac/ano.2024/a26850a9-ceb8-11ef-8e48-02420a000017,N/A,CE,2023,3.725 km,"R$ 33.400,00",Leilão: Leilão: 24/06/2025 Ter • 17:00,24/06/2025,,,,,,,,,
HYUNDAI/CRETA 1TF LIMITED,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/creta-1tf-limited/ano.2025/8b6837f4-1bca-11f0-abeb-02420a0000a3,N/A,DF,2024,2.870 km,"R$ 44.200,00",Leilão ao vivo em: 2 dias 5h58m2s,24/06/2025,,,,,,,,,
AUDI/A3 LIMOUSINE,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/audi/a3-limousine/ano.2019/b6ac5a14-3638-11f0-bd5d-02420a000005,N/A,DF,2018,67.833 km,"R$ 33.800,00",Leilão ao vivo em: 2 dias 5h58m20s,24/06/2025,,,,,,,,,
CHEVROLET/PRISMA LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2014/d392fa63-328d-11f0-9f79-02420a000005,N/A,CE,2014,141.116 km,"R$ 13.100,00",Leilão ao vivo em: 2 dias 5h58m43s,24/06/2025,,,,,,,,,
